id,reference,amount,currency,settled_at,merchant
set-0001,RA-42-0001,46.48,INR,2025-01-02T09:00:00+00:00,"Rodriguez, Figueroa and Sanchez"
set-0002,RA-42-0002,18.19,INR,2025-01-02T14:00:00+00:00,Doyle Ltd
set-0003,RA-42-0003,100.12,INR,2025-01-02T19:00:00+00:00,"Mcclain, Miller and Henderson"
set-0004,RA-42-0004,90.24,INR,2025-01-03T00:00:00+00:00,Davis and Sons
set-0005,RA-42-0005,83.14,INR,2025-01-03T05:00:00+00:00,"Guzman, Hoffman and Baldwin"
set-0006,RA-42-0006,55.72,INR,2025-01-03T10:00:00+00:00,"Gardner, Robinson and Lawrence"
set-0007,RA-42-0007,43.58,INR,2025-01-03T15:00:00+00:00,Blake and Sons
set-0008,RA-42-0008,188.7,INR,2025-01-03T20:00:00+00:00,"Henderson, Ramirez and Lewis"
set-0009,RA-42-0009,38.48,INR,2025-01-04T01:00:00+00:00,Garcia-James
set-0010,RA-42-0010,148.25,INR,2025-01-04T06:00:00+00:00,Abbott-Munoz
set-0011,RA-42-0011,20.41,INR,2025-01-04T11:00:00+00:00,Blair PLC
set-0012,RA-42-0012,19.76,INR,2025-01-04T16:00:00+00:00,Dudley Group
set-0013,RA-42-0013,40.7,INR,2025-01-04T21:00:00+00:00,Arnold Ltd
set-0014,RA-42-0014,81.64,INR,2025-01-05T02:00:00+00:00,"Mcclure, Ward and Lee"
set-0015,RA-42-0015,86.23,INR,2025-01-05T07:00:00+00:00,Williams and Sons
set-0016,RA-42-0016,175.59,INR,2025-01-05T12:00:00+00:00,Galloway-Wyatt
set-0017,RA-42-0017,18.69,INR,2025-01-05T17:00:00+00:00,James Group
set-0018,RA-42-0018,193.9,INR,2025-01-05T22:00:00+00:00,"Flowers, Martin and Kelly"
set-0019,RA-42-0019,75.15,INR,2025-01-06T03:00:00+00:00,"Adams, Zuniga and Wong"
set-0020,RA-42-0020,188.56,INR,2025-01-06T08:00:00+00:00,"Reid, Ferguson and Sanchez"
set-0021,RA-42-0021,147.46,INR,2025-01-06T13:00:00+00:00,Gray-Mayo
set-0022,RA-42-0022,82.23,INR,2025-01-06T18:00:00+00:00,"Watts, Robinson and Nguyen"
set-0023,RA-42-0023,157.19,INR,2025-01-06T23:00:00+00:00,Perez Inc
set-0024,RA-42-0024,101.15,INR,2025-01-07T04:00:00+00:00,Morales-Jones
set-0025,RA-42-0025,12.12,INR,2025-01-07T09:00:00+00:00,"Walter, Edwards and Rios"
set-0026,RA-42-0026,62.31,INR,2025-01-07T14:00:00+00:00,Wilkerson-Day
set-0027,RA-42-0027,148.48,INR,2025-01-07T19:00:00+00:00,Baker and Sons
set-0028,RA-42-0028,121.49,INR,2025-01-08T00:00:00+00:00,"Hoffman, Baker and Richards"
set-0029,RA-42-0029,101.05,INR,2025-01-08T05:00:00+00:00,"Ross, Robinson and Bright"
set-0030,RA-42-0030,60.94,INR,2025-01-08T10:00:00+00:00,"Snyder, Campos and Callahan"
set-0031,RA-42-0031,80.55,INR,2025-01-08T15:00:00+00:00,Burton Ltd
set-0032,RA-42-0032,120.29,INR,2025-01-08T20:00:00+00:00,Carlson-Cruz
set-0033,RA-42-0033,43.49,INR,2025-01-09T01:00:00+00:00,"Ferrell, Rice and Maddox"
set-0034,RA-42-0034,40.39,INR,2025-01-09T06:00:00+00:00,Frazier Inc
set-0035,RA-42-0035,134.49,INR,2025-01-09T11:00:00+00:00,"Dyer, Potter and Mack"
set-0036,RA-42-0036,41.69,INR,2025-01-09T16:00:00+00:00,Rodriguez-Graham
set-0037,RA-42-0037,127.63,INR,2025-01-09T21:00:00+00:00,Smith-Bowen
set-0038,RA-42-0038,122.7,INR,2025-01-10T02:00:00+00:00,"Baker, Mason and White"
set-0039,RA-42-0039,96.67,INR,2025-01-10T07:00:00+00:00,Harrell LLC
set-0040,RA-42-0040,24.23,INR,2025-01-10T12:00:00+00:00,"Romero, Gonzalez and Brooks"
set-0041,RA-42-0041,160.54,INR,2025-01-10T17:00:00+00:00,Ryan PLC
set-0042,RA-42-0042,185.71,INR,2025-01-10T22:00:00+00:00,George Group
set-0044,RA-42-0044,134.03,INR,2025-01-11T08:00:00+00:00,Allen-Allen
set-0045,RA-42-0045,35.82,INR,2025-01-11T13:00:00+00:00,"Arroyo, Miller and Tucker"
set-0046,RA-42-0046,190.89,INR,2025-01-11T18:00:00+00:00,Spence PLC
set-0047,RA-42-0047,106.06,INR,2025-01-11T23:00:00+00:00,Anderson Group
set-0048,RA-42-0048,128.5,INR,2025-01-12T04:00:00+00:00,"Martin, Rose and Obrien"
set-0050,RA-42-0050,73,INR,2025-01-12T14:00:00+00:00,"Harris, Collins and Carney"
set-0051,RA-42-0051,32.79,INR,2025-01-12T19:00:00+00:00,"Brooks, Lam and Hayes"
set-0052,RA-42-0052,25.01,INR,2025-01-13T00:00:00+00:00,Walker LLC
set-0053,RA-42-0053,84.67,INR,2025-01-13T05:00:00+00:00,Chapman and Sons
set-0054,RA-42-0054,104.82,INR,2025-01-13T10:00:00+00:00,"Robinson, Jones and Welch"
set-0055,RA-42-0055,36.14,INR,2025-01-13T15:00:00+00:00,Jones Inc
set-0056,RA-42-0056,86.28,INR,2025-01-13T20:00:00+00:00,Jones-Young
set-0057,RA-42-0057,43.09,INR,2025-01-14T01:00:00+00:00,"Washington, Ryan and Cummings"
set-0058,RA-42-0058,134.55,INR,2025-01-14T06:00:00+00:00,"Johnston, Sanchez and Kennedy"
set-0059,RA-42-0059,101.08,INR,2025-01-14T11:00:00+00:00,Lee-Davis
set-0060,RA-42-0060,158.57,INR,2025-01-14T16:00:00+00:00,Gomez-Jenkins
